h2_co_molar_ratio,space_time_multiple_of_experiment1,catalyst_space_time_kg_s_mol_co,co_feed_mol_h,h2_feed_mol_h,n2_feed_mol_h,total_feed_mol_h,inlet_pressure_bar_abs,outlet_co_conversion_pct,outlet_ch4_yield_pct,peak_temperature_c,outlet_pressure_bar_abs,pressure_drop_pa,status,terminal_event,solver_function_evaluations,message
1.0,2.29739670999407,80.63862452079185,0.13928809012737986,0.13928809012737986,0.3477849500368016,0.6263611302915613,2.0,54.45217889272557,33.29382758664908,350.0,1.99999999553327,0.0004466730169951916,completed,,237,The solver successfully reached the end of the integration interval.
1.2,2.29739670999407,80.63862452079185,0.13928809012737986,0.16714570815285582,0.3477849500368016,0.6542187483170372,2.0,64.71774006720227,39.77108153083345,350.0,1.9999999954291188,0.0004570881137624383,completed,,241,The solver successfully reached the end of the integration interval.
1.4,2.29739670999407,80.63862452079185,0.13928809012737986,0.1950033261783318,0.3477849500368016,0.6820763663425133,2.0,73.9364544588629,45.87113717011719,350.0,1.9999999953172378,0.00046827620826661587,completed,,226,The solver successfully reached the end of the integration interval.
1.6,2.29739670999407,80.63862452079185,0.13928809012737986,0.22286094420380778,0.3477849500368016,0.7099339843679893,2.0,81.81083912983476,51.486217778180574,350.0,1.999999995195971,0.0004804029013030231,completed,,223,The solver successfully reached the end of the integration interval.
1.8,2.29739670999407,80.63862452079185,0.13928809012737986,0.25071856222928374,0.3477849500368016,0.7377916023934652,2.0,88.08747055290273,56.523281553054716,350.0,1.9999999950639238,0.0004936076293233782,completed,,219,The solver successfully reached the end of the integration interval.
2.0,2.29739670999407,80.63862452079185,0.13928809012737986,0.2785761802547597,0.3477849500368016,0.7656492204189411,2.0,92.64389192872277,60.93302862259413,350.0,1.9999999949202014,0.0005079798575025052,completed,,221,The solver successfully reached the end of the integration interval.
2.2,2.29739670999407,80.63862452079185,0.13928809012737986,0.3064337982802357,0.3477849500368016,0.7935068384444172,2.0,95.58540478591382,64.7415432142672,350.0,1.9999999947647134,0.0005235286662355065,completed,,221,The solver successfully reached the end of the integration interval.
2.4000000000000004,2.29739670999407,80.63862452079185,0.13928809012737986,0.3342914163057117,0.3477849500368016,0.8213644564698932,2.0,97.25610475793637,68.05201284612407,350.0,1.9999999945982674,0.0005401732632890344,completed,,221,The solver successfully reached the end of the integration interval.
2.6,2.29739670999407,80.63862452079185,0.13928809012737986,0.36214903433118767,0.3477849500368016,0.8492220744953691,2.0,98.10839989767288,70.99934296503945,350.0,1.9999999944222882,0.000557771185413003,completed,,221,The solver successfully reached the end of the integration interval.
2.8,2.29739670999407,80.63862452079185,0.13928809012737986,0.3900066523566636,0.3477849500368016,0.8770796925208451,2.0,98.5271471931606,73.69202841634002,350.0,1.9999999942383089,0.0005761691136285663,completed,,218,The solver successfully reached the end of the integration interval.
2.9968749999999997,2.29739670999407,80.63862452079185,0.13928809012737986,0.4174289951004915,0.3477849500368016,0.9045020352646729,2.0,98.74674699811587,76.15083914393473,350.0,1.9999999940506155,0.0005949384649284184,completed,,220,The solver successfully reached the end of the integration interval.
3.0,2.29739670999407,80.63862452079185,0.13928809012737986,0.4178642703821396,0.3477849500368016,0.904937310546321,2.0,98.74940448493678,76.1884703545631,350.0,1.9999999940475865,0.0005952413484919816,completed,,220,The solver successfully reached the end of the integration interval.
3.2,2.29739670999407,80.63862452079185,0.13928809012737986,0.44572188840761556,0.3477849500368016,0.9327949285717969,2.0,98.88978660346551,78.50851607025923,350.0,1.9999999938510074,0.0006148992688395083,completed,,217,The solver successfully reached the end of the integration interval.
3.4000000000000004,2.29739670999407,80.63862452079185,0.13928809012737986,0.47357950643309155,0.3477849500368016,0.9606525465972731,2.0,98.99493844418218,80.6534684847171,350.0,1.9999999936491595,0.0006350840558297932,completed,,199,The solver successfully reached the end of the integration interval.
3.6,2.29739670999407,80.63862452079185,0.13928809012737986,0.5014371244585675,0.3477849500368016,0.988510164622749,2.0,99.08258771892454,82.62031445889563,350.0,1.9999999934424517,0.0006557548185810447,completed,,190,The solver successfully reached the end of the integration interval.
3.8000000000000003,2.29739670999407,80.63862452079185,0.13928809012737986,0.5292947424840435,0.3477849500368016,1.016367782648225,2.0,99.15905812526285,84.40731028667663,350.0,1.9999999932312114,0.0006768788734916598,completed,,188,The solver successfully reached the end of the integration interval.
4.0,2.29739670999407,80.63862452079185,0.13928809012737986,0.5571523605095194,0.3477849500368016,1.0442254006737008,2.0,99.22715829769405,86.01663690519928,350.0,1.9999999930157268,0.0006984273204579949,completed,,193,The solver successfully reached the end of the integration interval.
4.2,2.29739670999407,80.63862452079185,0.13928809012737986,0.5850099785349955,0.3477849500368016,1.072083018699177,2.0,99.28799841080952,87.45418288107936,350.0,1.9999999927962804,0.0007203719578683376,completed,,192,The solver successfully reached the end of the integration interval.
4.4,2.29739670999407,80.63862452079185,0.13928809012737986,0.6128675965604714,0.3477849500368016,1.099940636724653,2.0,99.3425526515221,88.72958834320686,350.0,1.9999999925731522,0.0007426847878377885,completed,,196,The solver successfully reached the end of the integration interval.
4.6,2.29739670999407,80.63862452079185,0.13928809012737986,0.6407252145859473,0.3477849500368016,1.1277982547501288,2.0,99.3914476856116,89.85474020876694,350.0,1.9999999923466145,0.0007653385400772095,completed,,204,The solver successfully reached the end of the integration interval.
4.800000000000001,2.29739670999407,80.63862452079185,0.13928809012737986,0.6685828326114234,0.3477849500368016,1.1556558727756048,2.0,99.43526038143288,90.84308600682007,350.0,1.9999999921169354,0.0007883064681664109,completed,,189,The solver successfully reached the end of the integration interval.
5.0,2.29739670999407,80.63862452079185,0.13928809012737986,0.6964404506368993,0.3477849500368016,1.1835134908010807,2.0,99.47443855204725,91.70870183139436,350.0,1.999999991884371,0.00081156290252693,completed,,187,The solver successfully reached the end of the integration interval.
1.0,2.6390158215457893,92.6294553362572,0.12125732532083182,0.12125732532083182,0.302764384160452,0.5452790348021156,2.0,55.423385876936784,33.69132899021117,350.0,1.9999999963210724,0.00036789276055060327,completed,,236,The solver successfully reached the end of the integration interval.
1.2,2.6390158215457893,92.6294553362572,0.12125732532083182,0.14550879038499817,0.302764384160452,0.569530499866282,2.0,65.82775532271987,40.230574549767056,350.0,1.999999996237399,0.00037626008270308375,completed,,236,The solver successfully reached the end of the integration interval.
1.4,2.6390158215457893,92.6294553362572,0.12125732532083182,0.16976025544916454,0.302764384160452,0.5937819649304483,2.0,75.1296997060152,46.376987223355734,350.0,1.999999996147212,0.00038527880678884685,completed,,236,The solver successfully reached the end of the integration interval.
1.6,2.6390158215457893,92.6294553362572,0.12125732532083182,0.19401172051333093,0.302764384160452,0.6180334299946147,2.0,83.00595660318446,52.01573195589947,350.0,1.9999999960490589,0.00039509410271421075,completed,,227,The solver successfully reached the end of the integration interval.
1.8,2.6390158215457893,92.6294553362572,0.12125732532083182,0.21826318557749727,0.302764384160452,0.6422848950587811,2.0,89.17894946506007,57.04770146499274,350.0,1.99999999594169,0.0004058310005348176,completed,,222,The solver successfully reached the end of the integration interval.
2.0,2.6390158215457893,92.6294553362572,0.12125732532083182,0.24251465064166364,0.302764384160452,0.6665363601229475,2.0,93.52999245595616,61.427426616239586,350.0,1.9999999958243448,0.0004175655194558203,completed,,220,The solver successfully reached the end of the integration interval.
