inlet_temperature_c,inlet_pressure_bar_abs,outlet_co_conversion_pct,outlet_methane_yield_pct,peak_temperature_c,outlet_pressure_bar_abs,status,terminal_event,solver_function_evaluations,message
257.5,5.8999999999999995,99.10091009514639,94.65443270265813,469.78084058816614,5.8562795872397,completed,,597,The solver successfully reached the end of the integration interval.
265.0,5.8999999999999995,99.07301516854686,94.80655711271328,477.0478760601418,5.855425009482164,completed,,620,The solver successfully reached the end of the integration interval.
272.5,5.8999999999999995,98.985821269916,94.63072456191456,484.25298908352283,5.854665693399798,completed,,650,The solver successfully reached the end of the integration interval.
280.0,5.8999999999999995,98.85642685316171,94.26384389703094,491.3303901563812,5.853985306870908,completed,,657,The solver successfully reached the end of the integration interval.
287.5,5.8999999999999995,98.69724997447567,93.80448068242322,498.24307592661853,5.853368433766074,completed,,657,The solver successfully reached the end of the integration interval.
295.0,5.8999999999999995,98.513182916216,93.29583502152651,504.9762598458191,5.8528017157422445,completed,,649,The solver successfully reached the end of the integration interval.
302.5,5.8999999999999995,98.30441390936504,92.74981844229188,511.5301452933858,5.852274531955385,completed,,629,The solver successfully reached the end of the integration interval.
310.0,5.8999999999999995,98.069772269335,92.16987033880723,517.9129679454998,5.8517787556242515,completed,,625,The solver successfully reached the end of the integration interval.
317.5,5.8999999999999995,97.80793698387926,91.55824198544228,524.1386665110757,5.8513081854096844,completed,,614,The solver successfully reached the end of the integration interval.
325.0,5.8999999999999995,97.51762942091314,90.9169679454143,530.2202503945142,5.85085805376515,completed,,603,The solver successfully reached the end of the integration interval.
332.5,5.8999999999999995,97.19764027407282,90.24790548549765,536.1706430291558,5.850424665255463,completed,,586,The solver successfully reached the end of the integration interval.
340.0,5.8999999999999995,96.84683817915544,89.55273045847375,542.0029788610436,5.850005132657918,completed,,578,The solver successfully reached the end of the integration interval.
347.5,5.8999999999999995,96.46418749771819,88.8329428562321,547.7267529197061,5.849597182404423,completed,,564,The solver successfully reached the end of the integration interval.
350.0,5.8999999999999995,96.32939494396454,88.58777942004929,549.6120434206728,5.84946344965959,completed,,564,The solver successfully reached the end of the integration interval.
355.0,5.8999999999999995,96.04875311820611,88.08987808464529,553.3529441485065,5.84919900984102,completed,,576,The solver successfully reached the end of the integration interval.
