panel,x_species,x_feed_mol_h,y_species,y_feed_mol_h,fixed_species,fixed_feed_mol_h,co_feed_mol_h,h2_feed_mol_h,n2_feed_mol_h,total_feed_mol_h,co_conversion_pct,status,solver_message
H2_vs_CO_at_fixed_N2,CO,0.24,H2,0.4222222222222222,N2,0.799,0.24,0.4222222222222222,0.799,1.4612222222222222,53.851392648144945,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.24888888888888888,H2,0.4222222222222222,N2,0.799,0.24888888888888888,0.4222222222222222,0.799,1.4701111111111111,52.4563032797444,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.2577777777777778,H2,0.4222222222222222,N2,0.799,0.2577777777777778,0.4222222222222222,0.799,1.479,51.12175314598587,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.26666666666666666,H2,0.4222222222222222,N2,0.799,0.26666666666666666,0.4222222222222222,0.799,1.487888888888889,49.84455713241676,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.27555555555555555,H2,0.4222222222222222,N2,0.799,0.27555555555555555,0.4222222222222222,0.799,1.4967777777777778,48.62158977885936,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.28444444444444444,H2,0.4222222222222222,N2,0.799,0.28444444444444444,0.4222222222222222,0.799,1.5056666666666667,47.449892991074336,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.29333333333333333,H2,0.4222222222222222,N2,0.799,0.29333333333333333,0.4222222222222222,0.799,1.5145555555555557,46.32669917839981,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3022222222222222,H2,0.4222222222222222,N2,0.799,0.3022222222222222,0.4222222222222222,0.799,1.5234444444444444,45.249363737149096,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3111111111111111,H2,0.4222222222222222,N2,0.799,0.3111111111111111,0.4222222222222222,0.799,1.5323333333333333,44.21538397045138,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.32,H2,0.4222222222222222,N2,0.799,0.32,0.4222222222222222,0.799,1.5412222222222223,43.22241307376706,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3288888888888889,H2,0.4222222222222222,N2,0.799,0.3288888888888889,0.4222222222222222,0.799,1.5501111111111112,42.2682525781669,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3377777777777778,H2,0.4222222222222222,N2,0.799,0.3377777777777778,0.4222222222222222,0.799,1.5590000000000002,41.35083165768078,completed,The solver successfully reached the end of the integration interval.
