h2_co_molar_ratio,space_time_multiple_of_experiment1,catalyst_space_time_kg_s_mol_co,co_feed_mol_h,h2_feed_mol_h,n2_feed_mol_h,total_feed_mol_h,inlet_pressure_bar_abs,outlet_co_conversion_pct,outlet_ch4_yield_pct,peak_temperature_c,outlet_pressure_bar_abs,pressure_drop_pa,status,terminal_event,solver_function_evaluations,message
3.0,0.5743491774985175,20.159656130197963,0.5571523605095194,1.6714570815285583,1.3911398001472064,3.619749242185284,1.0,67.56512275187663,53.19078240747025,350.0,0.9999998812321997,0.01187678003043402,completed,,147,The solver successfully reached the end of the integration interval.
3.2,0.5743491774985175,20.159656130197963,0.5571523605095194,1.7828875536304623,1.3911398001472064,3.7311797142871876,1.0,69.33610400795499,55.08196537263769,350.0,0.9999998771628943,0.012283710573683493,completed,,146,The solver successfully reached the end of the integration interval.
3.4000000000000004,0.5743491774985175,20.159656130197963,0.5571523605095194,1.8943180257323662,1.3911398001472064,3.8426101863890922,1.0,70.82243508223128,56.76689575243798,350.0,0.9999998730104213,0.012698957871180028,completed,,142,The solver successfully reached the end of the integration interval.
3.6,0.5743491774985175,20.159656130197963,0.5571523605095194,2.00574849783427,1.3911398001472064,3.954040658490996,1.0,72.05601341078328,58.26066243353873,350.0,0.9999998687803449,0.013121965515892953,completed,,143,The solver successfully reached the end of the integration interval.
3.8000000000000003,0.5743491774985175,20.159656130197963,0.5571523605095194,2.117178969936174,1.3911398001472064,4.0654711305929,1.0,73.06681148317253,59.578496737914854,350.0,0.9999998644779676,0.013552203236031346,completed,,142,The solver successfully reached the end of the integration interval.
4.0,0.5743491774985175,20.159656130197963,0.5571523605095194,2.2286094420380778,1.3911398001472064,4.176901602694803,1.0,73.88239843183784,60.73534756666359,350.0,0.9999998601082759,0.013989172410219908,completed,,130,The solver successfully reached the end of the integration interval.
4.2,0.5743491774985175,20.159656130197963,0.5571523605095194,2.340039914139982,1.3911398001472064,4.288332074796708,1.0,74.5276513094756,61.74552488550458,350.0,0.9999998556759031,0.014432409690925851,completed,,128,The solver successfully reached the end of the integration interval.
4.4,0.5743491774985175,20.159656130197963,0.5571523605095194,2.4514703862418856,1.3911398001472064,4.399762546898612,1.0,75.02466501457657,62.62251087919527,350.0,0.9999998511850802,0.014881491981213912,completed,,126,The solver successfully reached the end of the integration interval.
4.6,0.5743491774985175,20.159656130197963,0.5571523605095194,2.5629008583437893,1.3911398001472064,4.511193019000515,1.0,75.39290378827928,63.378850637780495,350.0,0.9999998466396512,0.015336034877691418,completed,,124,The solver successfully reached the end of the integration interval.
4.800000000000001,0.5743491774985175,20.159656130197963,0.5571523605095194,2.6743313304456935,1.3911398001472064,4.622623491102419,1.0,75.64938035744642,64.02610482768338,350.0,0.9999998420430875,0.01579569125897251,completed,,123,The solver successfully reached the end of the integration interval.
