h2_co_molar_ratio,inlet_temperature_c,inlet_pressure_bar_abs,catalyst_space_time_kg_s_mol_co,co_feed_mol_h,h2_feed_mol_h,n2_feed_mol_h,outlet_co_conversion_pct,outlet_ch4_yield_pct,outlet_pressure_bar_abs,pressure_drop_pa,status,terminal_event,solver_function_evaluations,message
2.9968749999999997,400.0,1.0,35.099999999999994,0.32,0.959,0.799,93.30265671524613,70.5060972406705,0.9999999531962558,0.0046803744189674035,completed,,321,The solver successfully reached the end of the integration interval.
3.0,400.0,1.0,35.099999999999994,0.32,0.96,0.799,93.32417438603906,70.54735495538762,0.9999999531728297,0.004682717029936612,completed,,321,The solver successfully reached the end of the integration interval.
3.4000000000000004,400.0,1.0,35.099999999999994,0.32,1.088,0.799,95.40086747084781,75.35487222159331,0.9999999500832981,0.004991670182789676,completed,,310,The solver successfully reached the end of the integration interval.
3.8000000000000003,400.0,1.0,35.099999999999994,0.32,1.2160000000000002,0.799,96.56904080674457,79.33805195386168,0.9999999468299314,0.005317006856785156,completed,,307,The solver successfully reached the end of the integration interval.
4.2,400.0,1.0,35.099999999999994,0.32,1.344,0.799,97.26418571955726,82.62816157832916,0.9999999434349346,0.0056565065460745245,completed,,293,The solver successfully reached the end of the integration interval.
4.6,400.0,1.0,35.099999999999994,0.32,1.472,0.799,97.71152611424695,85.32348468623486,0.9999999399168119,0.006008318814565428,completed,,281,The solver successfully reached the end of the integration interval.
5.0,400.0,1.0,35.099999999999994,0.32,1.6,0.799,98.02040456595542,87.51024327923437,0.9999999362911612,0.006370883871568367,completed,,272,The solver successfully reached the end of the integration interval.
1.0,250.0,2.0,35.099999999999994,0.32,0.32,0.799,16.301974116406384,14.251168246407076,1.9999999855340889,0.0014465911081060767,completed,,127,The solver successfully reached the end of the integration interval.
1.4,250.0,2.0,35.099999999999994,0.32,0.44799999999999995,0.799,20.980649109992104,18.547755315381487,1.9999999842610174,0.0015738982474431396,completed,,111,The solver successfully reached the end of the integration interval.
1.8,250.0,2.0,35.099999999999994,0.32,0.5760000000000001,0.799,24.399214397220568,21.832929426273875,1.999999982934681,0.0017065318825189024,completed,,103,The solver successfully reached the end of the integration interval.
2.2,250.0,2.0,35.099999999999994,0.32,0.7040000000000001,0.799,26.808212983744017,24.267137087225173,1.999999981565765,0.0018434234953019768,completed,,97,The solver successfully reached the end of the integration interval.
2.6,250.0,2.0,35.099999999999994,0.32,0.8320000000000001,0.799,28.453566157285582,26.02636131474953,1.999999980162253,0.0019837747095152736,completed,,94,The solver successfully reached the end of the integration interval.
2.9968749999999997,250.0,2.0,35.099999999999994,0.32,0.959,0.799,29.531061828108925,27.25900225727899,1.99999997874122,0.002125878003425896,completed,,91,The solver successfully reached the end of the integration interval.
3.0,250.0,2.0,35.099999999999994,0.32,0.96,0.799,29.53778317894806,27.26703043980514,1.9999999787299296,0.0021270070283208042,completed,,91,The solver successfully reached the end of the integration interval.
3.4000000000000004,250.0,2.0,35.099999999999994,0.32,1.088,0.799,30.214789184932243,28.115487687313106,1.9999999772729378,0.002272706216899678,completed,,91,The solver successfully reached the end of the integration interval.
3.8000000000000003,250.0,2.0,35.099999999999994,0.32,1.2160000000000002,0.799,30.597106771584276,28.66892982178949,1.9999999757942537,0.002420574630377814,completed,,81,The solver successfully reached the end of the integration interval.
4.2,250.0,2.0,35.099999999999994,0.32,1.344,0.799,30.76579659891494,29.000527807622,1.999999974296033,0.0025703966966830194,completed,,85,The solver successfully reached the end of the integration interval.
4.6,250.0,2.0,35.099999999999994,0.32,1.472,0.799,30.779084199210388,29.16491320362457,1.999999972779848,0.0027220151969231665,completed,,87,The solver successfully reached the end of the integration interval.
5.0,250.0,2.0,35.099999999999994,0.32,1.6,0.799,30.678972629070607,29.202877349317692,1.9999999712468646,0.002875313541153446,completed,,85,The solver successfully reached the end of the integration interval.
1.0,280.0,2.0,35.099999999999994,0.32,0.32,0.799,27.308633380925734,21.271423864391224,1.999999985184799,0.0014815200993325561,completed,,196,The solver successfully reached the end of the integration interval.
1.4,280.0,2.0,35.099999999999994,0.32,0.44799999999999995,0.799,37.34479291395411,29.259143709592394,1.9999999840496807,0.0015950319357216358,completed,,179,The solver successfully reached the end of the integration interval.
